,frametime,GoldStandardValence,GoldStandardArousal
84,3.36,-0.0039727,-0.11174
85,3.4,-0.0056393,-0.11508
86,3.44,-0.0056393,-0.12008
87,3.48,-0.007306,-0.12341
88,3.52,-0.007306,-0.12841
89,3.56,-0.007306,-0.13841
90,3.6,-0.007306,-0.14674
91,3.64,-0.007306,-0.15008
92,3.68,-0.0089727,-0.15841
93,3.72,-0.010639,-0.16341
94,3.76,-0.012306,-0.16674
95,3.8,-0.010639,-0.17174
96,3.84,-0.012306,-0.17341
97,3.88,-0.013973,-0.17508
98,3.92,-0.015639,-0.17674
99,3.96,-0.017306,-0.17841
100,4.0,-0.017306,-0.18008
101,4.04,-0.017306,-0.18174
102,4.08,-0.017306,-0.18174
103,4.12,-0.020639,-0.17841
104,4.16,-0.020639,-0.17674
105,4.2,-0.022306,-0.17508
106,4.24,-0.023973,-0.17508
107,4.28,-0.025639,-0.17508
108,4.32,-0.027306,-0.17508
109,4.36,-0.027306,-0.17508
110,4.4,-0.027306,-0.17508
111,4.44,-0.027306,-0.17674
112,4.48,-0.028973,-0.17674
113,4.52,-0.028973,-0.17674
114,4.56,-0.032306,-0.17841
115,4.6,-0.033973,-0.17674
116,4.64,-0.032306,-0.17508
117,4.68,-0.032306,-0.17674
118,4.72,-0.032306,-0.17674
119,4.76,-0.032306,-0.17841
120,4.8,-0.033973,-0.18008
121,4.84,-0.033973,-0.18008
122,4.88,-0.033973,-0.18008
123,4.92,-0.033973,-0.17841
124,4.96,-0.037306,-0.17841
125,5.0,-0.040639,-0.17841
126,5.04,-0.040639,-0.18008
127,5.08,-0.040639,-0.17508
128,5.12,-0.038973,-0.17174
129,5.16,-0.038973,-0.17674
130,5.2,-0.038973,-0.18841
131,5.24,-0.037306,-0.19008
132,5.28,-0.037306,-0.19674
133,5.32,-0.038973,-0.20341
134,5.36,-0.038973,-0.20674
135,5.4,-0.038973,-0.20674
136,5.44,-0.037306,-0.20841
137,5.48,-0.035639,-0.20841
138,5.52,-0.035639,-0.20841
139,5.56,-0.038973,-0.20841
140,5.6,-0.040639,-0.21008
141,5.64,-0.040639,-0.21341
142,5.68,-0.040639,-0.21508
143,5.72,-0.040639,-0.21674
144,5.76,-0.040639,-0.21674
145,5.8,-0.040639,-0.21674
146,5.84,-0.040639,-0.21674
147,5.88,-0.040639,-0.21841
148,5.92,-0.040639,-0.22008
149,5.96,-0.040639,-0.22008
150,6.0,-0.040639,-0.22341
151,6.04,-0.040639,-0.22341
152,6.08,-0.040639,-0.22341
153,6.12,-0.040639,-0.22841
154,6.16,-0.040639,-0.23008
155,6.2,-0.040639,-0.23008
156,6.24,-0.040639,-0.23008
157,6.28,-0.040639,-0.23008
158,6.32,-0.038973,-0.23008
159,6.36,-0.038973,-0.23008
160,6.4,-0.037306,-0.23008
161,6.44,-0.037306,-0.23174
162,6.48,-0.037306,-0.23508
163,6.52,-0.037306,-0.23674
164,6.56,-0.033973,-0.24008
165,6.6,-0.033973,-0.24008
166,6.64,-0.032306,-0.24008
167,6.68,-0.027306,-0.23841
168,6.72,-0.022306,-0.23841
169,6.76,-0.020639,-0.23674
170,6.8,-0.018973,-0.22674
171,6.84,-0.015639,-0.22008
172,6.88,-0.010639,-0.21341
173,6.92,-0.010639,-0.21174
174,6.96,-0.007306,-0.20841
175,7.0,-0.0056393,-0.20008
176,7.04,-0.0039727,-0.19174
177,7.08,-0.002306,-0.18174
178,7.12,-0.00063933,-0.17174
179,7.16,-0.00063933,-0.17174
180,7.2,0.0010273,-0.16841
181,7.24,0.0010273,-0.16674
182,7.28,0.0010273,-0.16674
183,7.32,0.002694,-0.16674
184,7.36,0.0043607,-0.16674
185,7.4,0.0043607,-0.16674
186,7.44,0.0043607,-0.16674
187,7.48,0.0043607,-0.16674
188,7.52,0.0060273,-0.16674
189,7.56,0.0060273,-0.16674
190,7.6,0.0060273,-0.16508
191,7.64,0.0060273,-0.16341
192,7.68,0.0060273,-0.16174
193,7.72,0.007694,-0.16008
194,7.76,0.011027,-0.16008
195,7.8,0.012694,-0.16008
196,7.84,0.012694,-0.15841
197,7.88,0.016027,-0.15841
198,7.92,0.017694,-0.15841
199,7.96,0.019361,-0.15674
200,8.0,0.017694,-0.15508
201,8.04,0.021027,-0.15508
202,8.08,0.022694,-0.15341
203,8.12,0.024361,-0.15174
204,8.16,0.026027,-0.14674
205,8.2,0.027694,-0.14174
206,8.24,0.027694,-0.14008
207,8.28,0.029361,-0.13841
208,8.32,0.029361,-0.13674
209,8.36,0.029361,-0.13341
210,8.4,0.027694,-0.13008
211,8.44,0.031027,-0.13508
212,8.48,0.031027,-0.13341
213,8.52,0.032694,-0.13341
214,8.56,0.034361,-0.13341
215,8.6,0.034361,-0.13341
216,8.64,0.034361,-0.13341
217,8.68,0.037694,-0.12841
218,8.72,0.039361,-0.12674
219,8.76,0.041027,-0.12508
220,8.8,0.042694,-0.12508
221,8.84,0.044361,-0.12508
222,8.88,0.046027,-0.12008
223,8.92,0.047694,-0.11341
224,8.96,0.049361,-0.11008
225,9.0,0.052694,-0.10674
226,9.04,0.052694,-0.10674
227,9.08,0.052694,-0.10508
228,9.12,0.054361,-0.10508
229,9.16,0.057694,-0.10508
230,9.2,0.057694,-0.10341
231,9.24,0.057694,-0.10008
232,9.28,0.061027,-0.10008
233,9.32,0.061027,-0.10174
234,9.36,0.062694,-0.10174
235,9.4,0.064361,-0.10174
236,9.44,0.062694,-0.10008
237,9.48,0.064361,-0.098409
238,9.52,0.069361,-0.095076
239,9.56,0.072694,-0.091742
240,9.6,0.072694,-0.090076
241,9.64,0.074361,-0.086742
242,9.68,0.071027,-0.083409
243,9.72,0.071027,-0.081742
244,9.76,0.072694,-0.078409
245,9.8,0.076027,-0.078409
246,9.84,0.076027,-0.073409
247,9.88,0.076027,-0.068409
248,9.92,0.077694,-0.061742
249,9.96,0.076027,-0.060076
250,10.0,0.0760273,-0.058409
251,10.04,0.0760273,-0.0567423
252,10.08,0.0743607,-0.0517423
253,10.12,0.072694,-0.048409
254,10.16,0.0710273,-0.0417423
255,10.2,0.0693607,-0.033409
256,10.24,0.0693607,-0.028409
257,10.28,0.067694,-0.0267423
258,10.32,0.0660273,-0.0267423
259,10.36,0.0643607,-0.0217423
260,10.4,0.0643607,-0.0200757
261,10.44,0.0643607,-0.0200757
262,10.48,0.062694,-0.013409
263,10.52,0.062694,-0.00840899
264,10.56,0.0610273,-0.00507566
265,10.6,0.0610273,-0.00340899
266,10.64,0.0610273,-0.00174232
267,10.68,0.0610273,-0.00174232
268,10.72,0.0610273,-7.56559e-05
269,10.76,0.0610273,-7.56559e-05
270,10.8,0.0610273,-0.00174232
271,10.84,0.0610273,-0.00174232
272,10.88,0.0610273,-7.56559e-05
273,10.92,0.0610273,-7.56559e-05
274,10.96,0.0610273,-0.00174232
275,11.0,0.0610273,-0.00340899
276,11.04,0.0610273,-7.56559e-05
277,11.08,0.0610273,-7.56559e-05
278,11.12,0.0593607,-7.56559e-05
279,11.16,0.0593607,-0.00174232
280,11.2,0.0593607,-0.00174232
281,11.24,0.0593607,-0.00340899
282,11.28,0.0593607,-0.00507566
283,11.32,0.0593607,-0.00674232
284,11.36,0.057694,-0.00674232
285,11.4,0.057694,-0.00840899
286,11.44,0.057694,-0.00840899
287,11.48,0.0560273,-0.00840899
288,11.52,0.0560273,-0.0100757
289,11.56,0.0543607,-0.00840899
290,11.6,0.0543607,-0.00507566
291,11.64,0.0543607,-0.00340899
292,11.68,0.0543607,-0.00340899
293,11.72,0.0543607,-0.00340899
294,11.76,0.0543607,-7.56559e-05
295,11.8,0.0543607,-0.00174232
296,11.84,0.0543607,-0.00174232
297,11.88,0.0560273,-0.00174232
298,11.92,0.0560273,-0.00174232
299,11.96,0.0560273,-0.00174232
300,12.0,0.057694,-7.56559e-05
301,12.04,0.057694,-7.56559e-05
302,12.08,0.057694,-7.56559e-05
303,12.12,0.057694,-0.00174232
304,12.16,0.057694,-0.00174232
305,12.2,0.057694,-0.00507566
306,12.24,0.057694,-0.00674232
307,12.28,0.0560273,-0.00674232
308,12.32,0.0543607,-0.00840899
309,12.36,0.0543607,-0.00840899
310,12.4,0.052694,-0.00840899
311,12.44,0.052694,-0.00674232
312,12.48,0.0510273,-0.00840899
313,12.52,0.0510273,-0.00840899
314,12.56,0.0510273,-0.00840899
315,12.6,0.0510273,-0.00840899
316,12.64,0.0510273,-0.00840899
317,12.68,0.0493607,-0.00674232
318,12.72,0.0493607,-0.00507566
319,12.76,0.047694,-0.00507566
320,12.8,0.047694,-0.00674232
321,12.84,0.0460273,-0.00507566
322,12.88,0.0443607,-0.00174232
323,12.92,0.0443607,-0.00174232
324,12.96,0.0443607,-7.56559e-05
325,13.0,0.0443607,-0.00174232
326,13.04,0.042694,-7.56559e-05
327,13.08,0.042694,0.00159101
328,13.12,0.042694,0.00159101
329,13.16,0.042694,0.00159101
330,13.2,0.0410273,-7.56559e-05
331,13.24,0.0410273,0.00159101
332,13.28,0.0410273,0.00325768
333,13.32,0.0393607,0.00325768
334,13.36,0.0393607,0.00492434
335,13.4,0.0393607,0.00492434
336,13.44,0.0360273,0.00659101
337,13.48,0.0343607,0.00825768
338,13.52,0.032694,0.00992434
339,13.56,0.0310273,0.011591
340,13.6,0.0310273,0.011591
341,13.64,0.0310273,0.0132577
342,13.68,0.0310273,0.0149243
343,13.72,0.0310273,0.016591
344,13.76,0.0310273,0.0199243
345,13.8,0.0310273,0.021591
346,13.84,0.0293607,0.0232577
347,13.88,0.0293607,0.0199243
348,13.92,0.027694,0.0132577
349,13.96,0.027694,0.00659101
350,14.0,0.0260273,-0.00174232
351,14.04,0.0260273,-0.00674232
352,14.08,0.0260273,-0.0100757
353,14.12,0.0260273,-0.013409
354,14.16,0.0260273,-0.0150757
355,14.2,0.0243607,-0.0167423
356,14.24,0.0243607,-0.0200757
357,14.28,0.022694,-0.0200757
358,14.32,0.022694,-0.023409
359,14.36,0.022694,-0.0267423
360,14.4,0.022694,-0.0250757
361,14.44,0.022694,-0.0250757
362,14.48,0.022694,-0.0267423
363,14.52,0.022694,-0.0267423
364,14.56,0.022694,-0.023409
365,14.6,0.022694,-0.0250757
366,14.64,0.022694,-0.0250757
367,14.68,0.022694,-0.0250757
368,14.72,0.0210273,-0.0250757
369,14.76,0.0210273,-0.0250757
370,14.8,0.0210273,-0.0250757
371,14.84,0.0193607,-0.0267423
372,14.88,0.0193607,-0.028409
373,14.92,0.0193607,-0.028409
374,14.96,0.0193607,-0.033409
375,15.0,0.0193607,-0.033409
376,15.04,0.0193607,-0.0350757
377,15.08,0.0193607,-0.0367423
378,15.12,0.0193607,-0.0367423
379,15.16,0.0193607,-0.0400757
380,15.2,0.0193607,-0.0400757
381,15.24,0.0193607,-0.0400757
382,15.28,0.0193607,-0.038409
383,15.32,0.0193607,-0.0400757
384,15.36,0.0193607,-0.0400757
385,15.4,0.0193607,-0.0400757
386,15.44,0.0193607,-0.038409
387,15.48,0.017694,-0.038409
388,15.52,0.017694,-0.038409
389,15.56,0.017694,-0.0367423
390,15.6,0.017694,-0.038409
391,15.64,0.017694,-0.0400757
392,15.68,0.017694,-0.038409
393,15.72,0.0193607,-0.0350757
394,15.76,0.0193607,-0.0350757
395,15.8,0.0193607,-0.033409
396,15.84,0.0193607,-0.0367423
397,15.88,0.0193607,-0.0367423
398,15.92,0.0193607,-0.0367423
399,15.96,0.0193607,-0.0367423
400,16.0,0.0193607,-0.0367423
401,16.04,0.0193607,-0.0367423
402,16.08,0.0210273,-0.038409
403,16.12,0.0210273,-0.038409
404,16.16,0.0210273,-0.0417423
405,16.2,0.0210273,-0.043409
406,16.24,0.0210273,-0.0450757
407,16.28,0.0210273,-0.043409
408,16.32,0.017694,-0.043409
409,16.36,0.0160273,-0.0450757
410,16.4,0.0143607,-0.0450757
411,16.44,0.0143607,-0.0467423
412,16.48,0.0143607,-0.0467423
413,16.52,0.012694,-0.0467423
414,16.56,0.0110273,-0.0467423
415,16.6,0.007694,-0.0467423
416,16.64,0.00602733,-0.0467423
417,16.68,0.00602733,-0.053409
418,16.72,0.00602733,-0.0550757
419,16.76,0.00602733,-0.0567423
420,16.8,0.007694,-0.063409
421,16.84,0.007694,-0.0700757
422,16.88,0.007694,-0.0767423
423,16.92,0.00936067,-0.078409
424,16.96,0.00936067,-0.0850757
425,17.0,0.007694,-0.088409
426,17.04,0.00602733,-0.093409
427,17.08,0.00602733,-0.098409
428,17.12,0.00602733,-0.101742
429,17.16,0.00602733,-0.110076
430,17.2,0.00602733,-0.113409
431,17.24,0.00602733,-0.121742
432,17.28,0.00602733,-0.128409
433,17.32,0.00602733,-0.133409
434,17.36,0.00602733,-0.136742
435,17.4,0.00602733,-0.140076
436,17.44,0.00602733,-0.141742
437,17.48,0.00436067,-0.145076
438,17.52,0.00602733,-0.146742
439,17.56,0.00602733,-0.150076
440,17.6,0.00602733,-0.150076
441,17.64,0.00602733,-0.153409
442,17.68,0.00602733,-0.155076
443,17.72,0.00602733,-0.155076
444,17.76,0.00602733,-0.156742
445,17.8,0.00602733,-0.160076
446,17.84,0.00602733,-0.165076
447,17.88,0.00602733,-0.168409
448,17.92,0.00602733,-0.170076
449,17.96,0.00602733,-0.171742
450,18.0,0.00602733,-0.171742
451,18.04,0.00602733,-0.171742
452,18.08,0.00602733,-0.175076
453,18.12,0.00602733,-0.175076
454,18.16,0.00602733,-0.176742
455,18.2,0.00602733,-0.178409
456,18.24,0.00602733,-0.180076
457,18.28,0.00602733,-0.183409
458,18.32,0.00602733,-0.186742
459,18.36,0.00602733,-0.188409
460,18.4,0.00602733,-0.190076
461,18.44,0.00602733,-0.190076
462,18.48,0.00602733,-0.193409
463,18.52,0.00602733,-0.191742
464,18.56,0.00602733,-0.190076
465,18.6,0.00602733,-0.191742
466,18.64,0.00602733,-0.191742
467,18.68,0.00602733,-0.191742
468,18.72,0.00602733,-0.190076
469,18.76,0.00602733,-0.190076
470,18.8,0.00602733,-0.190076
471,18.84,0.00602733,-0.188409
472,18.88,0.007694,-0.186742
473,18.92,0.007694,-0.181742
474,18.96,0.00936067,-0.180076
475,19.0,0.00936067,-0.176742
476,19.04,0.0110273,-0.176742
477,19.08,0.012694,-0.170076
478,19.12,0.0143607,-0.166742
479,19.16,0.0160273,-0.163409
480,19.2,0.017694,-0.160076
481,19.24,0.017694,-0.158409
482,19.28,0.017694,-0.153409
483,19.32,0.017694,-0.150076
484,19.36,0.017694,-0.146742
485,19.4,0.017694,-0.145076
486,19.44,0.017694,-0.143409
487,19.48,0.0193607,-0.138409
488,19.52,0.0193607,-0.136742
489,19.56,0.0193607,-0.133409
490,19.6,0.0193607,-0.133409
491,19.64,0.0193607,-0.131742
492,19.68,0.0193607,-0.133409
493,19.72,0.017694,-0.131742
494,19.76,0.0160273,-0.133409
495,19.8,0.0160273,-0.130076
496,19.84,0.017694,-0.128409
497,19.88,0.017694,-0.126742
498,19.92,0.017694,-0.125076
499,19.96,0.017694,-0.120076
500,20.0,0.0193607,-0.115076
501,20.04,0.0193607,-0.115076
502,20.08,0.0193607,-0.115076
503,20.12,0.017694,-0.111742
504,20.16,0.0193607,-0.111742
505,20.2,0.017694,-0.106742
506,20.24,0.017694,-0.100076
507,20.28,0.0160273,-0.0967423
508,20.32,0.012694,-0.0950757
509,20.36,0.00936067,-0.0917423
510,20.4,0.0110273,-0.088409
511,20.44,0.012694,-0.0800757
512,20.48,0.0143607,-0.0750757
513,20.52,0.0160273,-0.0717423
514,20.56,0.017694,-0.068409
515,20.6,0.017694,-0.068409
516,20.64,0.017694,-0.068409
517,20.68,0.0193607,-0.0667423
518,20.72,0.0210273,-0.0617423
519,20.76,0.0260273,-0.0600757
520,20.8,0.0293607,-0.058409
521,20.84,0.032694,-0.0567423
522,20.88,0.0343607,-0.0567423
523,20.92,0.0393607,-0.0567423
524,20.96,0.0393607,-0.0550757
525,21.0,0.0443607,-0.0550757
526,21.04,0.0443607,-0.0550757
527,21.08,0.047694,-0.053409
528,21.12,0.047694,-0.053409
529,21.16,0.047694,-0.053409
530,21.2,0.0510273,-0.0517423
531,21.24,0.0510273,-0.043409
532,21.28,0.052694,-0.0400757
533,21.32,0.052694,-0.038409
534,21.36,0.052694,-0.0350757
535,21.4,0.052694,-0.0300757
536,21.44,0.0543607,-0.028409
537,21.48,0.057694,-0.023409
538,21.52,0.0610273,-0.0217423
539,21.56,0.0610273,-0.018409
540,21.6,0.0610273,-0.0167423
541,21.64,0.0610273,-0.0167423
542,21.68,0.062694,-0.013409
543,21.72,0.0643607,-0.013409
544,21.76,0.0660273,-0.0117423
545,21.8,0.0660273,-0.0100757
546,21.84,0.067694,-0.00840899
547,21.88,0.067694,-0.00340899
548,21.92,0.0693607,-0.00340899
549,21.96,0.0710273,-7.56559e-05
550,22.0,0.0710273,0.00325768
551,22.04,0.072694,0.00325768
552,22.08,0.0743607,0.00325768
553,22.12,0.0760273,0.00325768
554,22.16,0.077694,0.00325768
555,22.2,0.0793607,0.00325768
556,22.24,0.0810273,0.00325768
557,22.28,0.082694,0.00325768
558,22.32,0.0843607,0.00325768
559,22.36,0.0843607,0.00159101
560,22.4,0.0860273,0.00159101
561,22.44,0.0860273,0.00159101
562,22.48,0.0860273,0.00159101
563,22.52,0.087694,0.00159101
564,22.56,0.087694,-7.56559e-05
565,22.6,0.0910273,-0.00174232
566,22.64,0.0910273,-0.00174232
567,22.68,0.092694,-7.56559e-05
568,22.72,0.092694,-7.56559e-05
569,22.76,0.0943607,-0.00174232
570,22.8,0.0960273,-0.00840899
571,22.84,0.0960273,-0.018409
572,22.88,0.097694,-0.0267423
573,22.92,0.097694,-0.033409
574,22.96,0.097694,-0.038409
575,23.0,0.0960273,-0.0417423
576,23.04,0.0943607,-0.0467423
577,23.08,0.092694,-0.048409
578,23.12,0.092694,-0.0500757
579,23.16,0.092694,-0.0550757
580,23.2,0.092694,-0.063409
581,23.24,0.092694,-0.068409
582,23.28,0.092694,-0.073409
583,23.32,0.092694,-0.0800757
584,23.36,0.0910273,-0.083409
585,23.4,0.087694,-0.088409
586,23.44,0.087694,-0.0917423
587,23.48,0.087694,-0.0917423
588,23.52,0.087694,-0.0950757
589,23.56,0.087694,-0.0967423
590,23.6,0.0860273,-0.098409
591,23.64,0.0843607,-0.101742
592,23.68,0.0843607,-0.103409
593,23.72,0.0843607,-0.106742
594,23.76,0.0843607,-0.110076
595,23.8,0.0843607,-0.113409
596,23.84,0.0843607,-0.115076
597,23.88,0.0843607,-0.120076
598,23.92,0.0843607,-0.121742
599,23.96,0.0843607,-0.125076
600,24.0,0.082694,-0.126742
601,24.04,0.082694,-0.131742
602,24.08,0.082694,-0.131742
603,24.12,0.082694,-0.133409
604,24.16,0.082694,-0.136742
605,24.2,0.082694,-0.138409
606,24.24,0.082694,-0.143409
607,24.28,0.082694,-0.146742
608,24.32,0.082694,-0.150076
609,24.36,0.082694,-0.151742
610,24.4,0.082694,-0.151742
611,24.44,0.0810273,-0.155076
612,24.48,0.0810273,-0.158409
613,24.52,0.0810273,-0.160076
614,24.56,0.0793607,-0.160076
615,24.6,0.0793607,-0.160076
616,24.64,0.0810273,-0.161742
617,24.68,0.0793607,-0.161742
618,24.72,0.0793607,-0.160076
619,24.76,0.077694,-0.160076
620,24.8,0.0760273,-0.160076
621,24.84,0.0760273,-0.163409
622,24.88,0.072694,-0.163409
623,24.92,0.0710273,-0.165076
624,24.96,0.0710273,-0.168409
625,25.0,0.0693607,-0.171742
626,25.04,0.0693607,-0.176742
627,25.08,0.0693607,-0.183409
628,25.12,0.0660273,-0.186742
629,25.16,0.067694,-0.186742
630,25.2,0.0643607,-0.188409
631,25.24,0.0660273,-0.188409
632,25.28,0.0660273,-0.188409
633,25.32,0.067694,-0.188409
634,25.36,0.067694,-0.188409
635,25.4,0.067694,-0.190076
636,25.44,0.0660273,-0.190076
637,25.48,0.0660273,-0.190076
638,25.52,0.067694,-0.190076
639,25.56,0.067694,-0.190076
640,25.6,0.0660273,-0.190076
641,25.64,0.0643607,-0.195076
642,25.68,0.0643607,-0.196742
643,25.72,0.0643607,-0.198409
644,25.76,0.0643607,-0.198409
645,25.8,0.0643607,-0.200076
646,25.84,0.0643607,-0.203409
647,25.88,0.0643607,-0.205076
648,25.92,0.0593607,-0.210076
649,25.96,0.057694,-0.215076
650,26.0,0.0560273,-0.218409
651,26.04,0.0560273,-0.221742
652,26.08,0.052694,-0.225076
653,26.12,0.0510273,-0.226742
654,26.16,0.0493607,-0.235076
655,26.2,0.047694,-0.243409
656,26.24,0.0460273,-0.246742
657,26.28,0.0443607,-0.246742
658,26.32,0.042694,-0.251742
659,26.36,0.042694,-0.253409
660,26.4,0.042694,-0.255076
661,26.44,0.0443607,-0.255076
662,26.48,0.042694,-0.258409
663,26.52,0.042694,-0.261742
664,26.56,0.0393607,-0.263409
665,26.6,0.037694,-0.263409
666,26.64,0.037694,-0.265076
667,26.68,0.037694,-0.266742
668,26.72,0.0360273,-0.270076
669,26.76,0.0343607,-0.273409
670,26.8,0.032694,-0.273409
671,26.84,0.0310273,-0.273409
672,26.88,0.0310273,-0.275076
673,26.92,0.0293607,-0.275076
674,26.96,0.027694,-0.273409
675,27.0,0.0260273,-0.276742
676,27.04,0.022694,-0.280076
677,27.08,0.022694,-0.278409
678,27.12,0.022694,-0.273409
679,27.16,0.022694,-0.271742
680,27.2,0.0210273,-0.263409
681,27.24,0.0210273,-0.246742
682,27.28,0.0210273,-0.228409
683,27.32,0.0193607,-0.216742
684,27.36,0.0193607,-0.211742
685,27.4,0.017694,-0.206742
686,27.44,0.0160273,-0.205076
687,27.48,0.0160273,-0.201742
688,27.52,0.012694,-0.201742
689,27.56,0.00936067,-0.200076
690,27.6,0.00602733,-0.198409
691,27.64,0.002694,-0.195076
692,27.68,0.002694,-0.193409
693,27.72,0.00102733,-0.191742
694,27.76,-0.002306,-0.183409
695,27.8,-0.00397267,-0.173409
696,27.84,-0.00563933,-0.168409
697,27.88,-0.007306,-0.160076
698,27.92,-0.007306,-0.150076
699,27.96,-0.00897267,-0.140076
700,28.0,-0.00897267,-0.136742
701,28.04,-0.0106393,-0.135076
702,28.08,-0.012306,-0.131742
703,28.12,-0.0139727,-0.120076
704,28.16,-0.0139727,-0.106742
705,28.2,-0.0156393,-0.0917423
706,28.24,-0.0156393,-0.078409
707,28.28,-0.017306,-0.0650757
708,28.32,-0.017306,-0.0517423
709,28.36,-0.0189727,-0.0417423
710,28.4,-0.0189727,-0.0317423
711,28.44,-0.0206393,-0.0200757
712,28.48,-0.022306,-0.0117423
713,28.52,-0.022306,-0.00340899
714,28.56,-0.0239727,0.00325768
715,28.6,-0.0239727,0.00492434
716,28.64,-0.022306,0.00825768
717,28.68,-0.0239727,0.00992434
718,28.72,-0.0239727,0.011591
719,28.76,-0.0256393,0.0132577
720,28.8,-0.027306,0.0149243
721,28.84,-0.0289727,0.0182577
722,28.88,-0.0306393,0.0199243
723,28.92,-0.0306393,0.021591
724,28.96,-0.0306393,0.0232577
725,29.0,-0.0306393,0.0232577
726,29.04,-0.032306,0.0232577
727,29.08,-0.032306,0.021591
728,29.12,-0.0339727,0.021591
729,29.16,-0.0356393,0.021591
730,29.2,-0.0356393,0.0249243
731,29.24,-0.0356393,0.0249243
732,29.28,-0.037306,0.0249243
733,29.32,-0.0389727,0.0249243
734,29.36,-0.0406393,0.0249243
735,29.4,-0.0406393,0.026591
736,29.44,-0.0406393,0.0249243
737,29.48,-0.0406393,0.0249243
738,29.52,-0.042306,0.0249243
739,29.56,-0.042306,0.0249243
740,29.6,-0.0406393,0.021591
741,29.64,-0.0406393,0.021591
742,29.68,-0.0406393,0.0199243
743,29.72,-0.0406393,0.0199243
744,29.76,-0.0406393,0.0199243
745,29.8,-0.042306,0.0199243
746,29.84,-0.042306,0.0199243
747,29.88,-0.042306,0.0199243
748,29.92,-0.0406393,0.0199243
749,29.96,-0.0406393,0.0199243
750,30.0,-0.0406393,0.0199243
751,30.04,-0.0406393,0.0182577
752,30.08,-0.0406393,0.016591
753,30.12,-0.042306,0.011591
754,30.16,-0.042306,0.011591
755,30.2,-0.042306,0.011591
756,30.24,-0.042306,0.011591
757,30.28,-0.042306,0.011591
758,30.32,-0.042306,0.011591
759,30.36,-0.042306,0.0132577
760,30.4,-0.042306,0.0132577
761,30.44,-0.0406393,0.0132577
762,30.48,-0.037306,0.0132577
763,30.52,-0.037306,0.011591
764,30.56,-0.037306,0.00992434
765,30.6,-0.0356393,0.00825768
766,30.64,-0.0306393,0.00159101
767,30.68,-0.0289727,-0.00507566
768,30.72,-0.0289727,-0.00840899
