@relation GOLDSTANDARD_VALENCE

@attribute frametime numeric
@attribute GoldStandardValence numeric


@data
35.84,-0.00399444
35.88,-0.00566111
35.92,-0.00566111
35.96,-0.00566111
36,-0.00566111
36.04,-0.00566111
36.08,-0.00566111
36.12,-0.00566111
36.16,-0.00566111
36.2,-0.00732778
36.24,-0.00899444
36.28,-0.0106611
36.32,-0.0123278
36.36,-0.0123278
36.4,-0.0123278
36.44,-0.0123278
36.48,-0.0123278
36.52,-0.0123278
36.56,-0.0139944
36.6,-0.0139944
36.64,-0.0139944
36.68,-0.0139944
36.72,-0.0139944
36.76,-0.0139944
36.8,-0.0139944
36.84,-0.0139944
36.88,-0.0156611
36.92,-0.0156611
36.96,-0.0156611
37,-0.0156611
37.04,-0.0156611
37.08,-0.0173278
37.12,-0.0156611
37.16,-0.0156611
37.2,-0.0156611
37.24,-0.0156611
37.28,-0.0156611
37.32,-0.0156611
37.36,-0.0156611
37.4,-0.0156611
37.44,-0.0156611
37.48,-0.0156611
37.52,-0.0156611
37.56,-0.0156611
37.6,-0.0173278
37.64,-0.0173278
37.68,-0.0173278
37.72,-0.0189944
37.76,-0.0223278
37.8,-0.0223278
37.84,-0.0223278
37.88,-0.0239944
37.92,-0.0239944
37.96,-0.0239944
38,-0.0256611
38.04,-0.0273278
38.08,-0.0273278
38.12,-0.0273278
38.16,-0.0273278
38.2,-0.0256611
38.24,-0.0239944
38.28,-0.0206611
38.32,-0.0156611
38.36,-0.0106611
38.4,-0.00732778
38.44,-0.00399444
38.48,-0.00399444
38.52,-0.00232778
38.56,-0.000661111
38.6,-0.000661111
38.64,0.00100556
38.68,0.00100556
38.72,-0.000661111
38.76,-0.00232778
38.8,-0.00232778
38.84,-0.00232778
38.88,-0.00399444
38.92,-0.00399444
38.96,-0.00399444
39,-0.00399444
39.04,-0.00566111
39.08,-0.00566111
39.12,-0.00399444
39.16,-0.00399444
39.2,-0.00399444
39.24,-0.00399444
39.28,-0.00399444
39.32,-0.00232778
39.36,-0.00232778
39.4,-0.00232778
39.44,-0.000661111
39.48,-0.000661111
39.52,0.00267222
39.56,0.00267222
39.6,0.00267222
39.64,0.00433889
39.68,0.00600556
39.72,0.00600556
39.76,0.0110056
39.8,0.0110056
39.84,0.0126722
39.88,0.0143389
39.92,0.0160056
39.96,0.0176722
40,0.0176722
40.04,0.0193389
40.08,0.0210056
40.12,0.0210056
40.16,0.0210056
40.2,0.0210056
40.24,0.0210056
40.28,0.0210056
40.32,0.0210056
40.36,0.0210056
40.4,0.0210056
40.44,0.0226722
40.48,0.0226722
40.52,0.0226722
40.56,0.0226722
40.6,0.0243389
40.64,0.0243389
40.68,0.0243389
40.72,0.0276722
40.76,0.0276722
40.8,0.0293389
40.84,0.0293389
40.88,0.0310056
40.92,0.0326722
40.96,0.0343389
41,0.0343389
41.04,0.0343389
41.08,0.0360056
41.12,0.0376722
41.16,0.0393389
41.2,0.0393389
41.24,0.0426722
41.28,0.0443389
41.32,0.0443389
41.36,0.0443389
41.4,0.0443389
41.44,0.0460056
41.48,0.0443389
41.52,0.0443389
41.56,0.0476722
41.6,0.0476722
41.64,0.0460056
41.68,0.0460056
41.72,0.0443389
41.76,0.0443389
41.8,0.0426722
41.84,0.0426722
41.88,0.0426722
41.92,0.0410056
41.96,0.0410056
42,0.0410056
42.04,0.0410056
42.08,0.0410056
42.12,0.0410056
42.16,0.0426722
42.2,0.0426722
42.24,0.0426722
42.28,0.0426722
42.32,0.0426722
42.36,0.0426722
42.4,0.0426722
42.44,0.0426722
42.48,0.0426722
42.52,0.0443389
42.56,0.0443389
42.6,0.0443389
42.64,0.0443389
42.68,0.0443389
42.72,0.0426722
42.76,0.0410056
42.8,0.0410056
42.84,0.0393389
42.88,0.0393389
42.92,0.0393389
42.96,0.0393389
43,0.0410056
43.04,0.0410056
43.08,0.0426722
43.12,0.0443389
43.16,0.0443389
43.2,0.0460056
43.24,0.0476722
43.28,0.0476722
43.32,0.0476722
43.36,0.0476722
43.4,0.0476722
43.44,0.0476722
43.48,0.0476722
43.52,0.0476722
43.56,0.0476722
43.6,0.0476722
43.64,0.0460056
43.68,0.0460056
43.72,0.0460056
43.76,0.0460056
43.8,0.0460056
43.84,0.0460056
43.88,0.0476722
43.92,0.0476722
43.96,0.0476722
44,0.0476722
44.04,0.0476722
44.08,0.0476722
44.12,0.0476722
44.16,0.0476722
44.2,0.0476722
44.24,0.0476722
44.28,0.0476722
44.32,0.0476722
44.36,0.0476722
44.4,0.0476722
44.44,0.0476722
44.48,0.0476722
44.52,0.0476722
44.56,0.0476722
44.6,0.0476722
44.64,0.0476722
44.68,0.0476722
44.72,0.0476722
44.76,0.0476722
44.8,0.0476722
44.84,0.0476722
44.88,0.0476722
44.92,0.0476722
44.96,0.0476722
45,0.0476722
45.04,0.0476722
45.08,0.0493389
45.12,0.0476722
45.16,0.0476722
45.2,0.0476722
45.24,0.0476722
45.28,0.0476722
45.32,0.0493389
45.36,0.0510056
45.4,0.0526722
45.44,0.0560056
45.48,0.0576722
45.52,0.0576722
45.56,0.0560056
45.6,0.0560056
45.64,0.0560056
45.68,0.0560056
45.72,0.0543389
45.76,0.0543389
45.8,0.0543389
45.84,0.0543389
45.88,0.0510056
45.92,0.0493389
45.96,0.0476722
46,0.0460056
46.04,0.0443389
46.08,0.0410056
46.12,0.0410056
46.16,0.0410056
46.2,0.0426722
46.24,0.0426722
46.28,0.0426722
46.32,0.0426722
46.36,0.0426722
46.4,0.0426722
46.44,0.0426722
46.48,0.0426722
46.52,0.0443389
46.56,0.0443389
46.6,0.0476722
46.64,0.0493389
46.68,0.0526722
46.72,0.0526722
46.76,0.0526722
46.8,0.0526722
46.84,0.0526722
46.88,0.0510056
46.92,0.0493389
46.96,0.0460056
47,0.0460056
47.04,0.0443389
47.08,0.0443389
47.12,0.0443389
47.16,0.0443389
47.2,0.0443389
47.24,0.0443389
47.28,0.0460056
47.32,0.0460056
47.36,0.0460056
47.4,0.0460056
47.44,0.0460056
47.48,0.0460056
47.52,0.0460056
47.56,0.0460056
47.6,0.0460056
47.64,0.0443389
47.68,0.0443389
47.72,0.0410056
47.76,0.0376722
47.8,0.0360056
47.84,0.0343389
47.88,0.0343389
47.92,0.0310056
47.96,0.0310056
48,0.0310056
48.04,0.0293389
48.08,0.0276722
48.12,0.0260056
48.16,0.0226722
48.2,0.0226722
48.24,0.0193389
48.28,0.0176722
48.32,0.0176722
48.36,0.0176722
48.4,0.0160056
48.44,0.0143389
48.48,0.0143389
48.52,0.0143389
48.56,0.0126722
48.6,0.0110056
48.64,0.0110056
48.68,0.0110056
48.72,0.0110056
48.76,0.00933889
48.8,0.00933889
48.84,0.00933889
48.88,0.00933889
48.92,0.00933889
48.96,0.00767222
49,0.00767222
49.04,0.00933889
49.08,0.00933889
49.12,0.00767222
49.16,0.00767222
49.2,0.00767222
49.24,0.00767222
49.28,0.0110056
49.32,0.0110056
49.36,0.0126722
49.4,0.0126722
49.44,0.0126722
49.48,0.0143389
49.52,0.0143389
49.56,0.0143389
49.6,0.0143389
49.64,0.0143389
49.68,0.0143389
49.72,0.0143389
49.76,0.0143389
49.8,0.0143389
49.84,0.0126722
49.88,0.0126722
49.92,0.0143389
49.96,0.0126722
50,0.0110056
50.04,0.00933889
50.08,0.00767222
50.12,0.00767222
50.16,0.00767222
50.2,0.00767222
50.24,0.00767222
50.28,0.00767222
50.32,0.00600556
50.36,0.00600556
50.4,0.00600556
50.44,0.00433889
50.48,0.00433889
50.52,0.00433889
50.56,0.00433889
50.6,0.00433889
50.64,0.00433889
50.68,0.00433889
50.72,0.00600556
50.76,0.00600556
50.8,0.00600556
50.84,0.00600556
50.88,0.00767222
50.92,0.00933889
50.96,0.0110056
51,0.0143389
51.04,0.0143389
51.08,0.0143389
51.12,0.0160056
51.16,0.0160056
51.2,0.0160056
51.24,0.0160056
51.28,0.0160056
51.32,0.0160056
51.36,0.0176722
51.4,0.0193389
51.44,0.0210056
51.48,0.0210056
51.52,0.0226722
51.56,0.0226722
51.6,0.0226722
51.64,0.0226722
51.68,0.0226722
51.72,0.0226722
51.76,0.0243389
51.8,0.0260056
51.84,0.0276722
51.88,0.0310056
51.92,0.0343389
51.96,0.0343389
52,0.0393389
52.04,0.0393389
52.08,0.0393389
52.12,0.0376722
52.16,0.0376722
52.2,0.0376722
52.24,0.0376722
52.28,0.0393389
52.32,0.0376722
52.36,0.0376722
52.4,0.0393389
52.44,0.0393389
52.48,0.0426722
52.52,0.0426722
52.56,0.0460056
52.6,0.0493389
52.64,0.0510056
52.68,0.0526722
52.72,0.0543389
52.76,0.0560056
52.8,0.0576722
52.84,0.0576722
52.88,0.0576722
52.92,0.0593389
52.96,0.0593389
53,0.0610056
53.04,0.0610056
53.08,0.0610056
53.12,0.0626722
53.16,0.0610056
53.2,0.0626722
53.24,0.0626722
53.28,0.0626722
53.32,0.0626722
53.36,0.0660056
53.4,0.0710056
53.44,0.0726722
53.48,0.0726722
53.52,0.0743389
53.56,0.0760056
53.6,0.0776722
53.64,0.0760056
53.68,0.0760056
53.72,0.0743389
53.76,0.0743389
53.8,0.0726722
53.84,0.0743389
53.88,0.0726722
53.92,0.0710056
53.96,0.0710056
54,0.0726722
54.04,0.0743389
54.08,0.0760056
54.12,0.0760056
54.16,0.0743389
54.2,0.0726722
54.24,0.0710056
54.28,0.0726722
54.32,0.0726722
54.36,0.0726722
54.4,0.0710056
54.44,0.0693389
54.48,0.0693389
54.52,0.0693389
54.56,0.0693389
54.6,0.0693389
54.64,0.0660056
54.68,0.0660056
54.72,0.0643389
54.76,0.0643389
54.8,0.0643389
54.84,0.0626722
54.88,0.0626722
54.92,0.0626722
54.96,0.0593389
55,0.0593389
55.04,0.0593389
55.08,0.0576722
55.12,0.0576722
55.16,0.0560056
55.2,0.0560056
55.24,0.0560056
55.28,0.0560056
55.32,0.0543389
55.36,0.0543389
55.4,0.0526722
55.44,0.0543389
55.48,0.0560056
55.52,0.0576722
55.56,0.0576722
55.6,0.0576722
55.64,0.0560056
55.68,0.0560056
55.72,0.0560056
55.76,0.0543389
55.8,0.0543389
55.84,0.0543389
55.88,0.0526722
55.92,0.0526722
55.96,0.0526722
56,0.0526722
56.04,0.0526722
56.08,0.0526722
56.12,0.0526722
56.16,0.0526722
56.2,0.0510056
56.24,0.0510056
56.28,0.0510056
56.32,0.0510056
56.36,0.0493389
56.4,0.0510056
56.44,0.0526722
56.48,0.0543389
56.52,0.0543389
56.56,0.0543389
56.6,0.0543389
56.64,0.0543389
56.68,0.0543389
56.72,0.0543389
56.76,0.0543389
