@relation AU_intensity_openFACE_mean_stddev

@attribute frametime numeric
@attribute AU01_r_mean numeric
@attribute AU02_r_mean numeric
@attribute AU04_r_mean numeric
@attribute AU05_r_mean numeric
@attribute AU06_r_mean numeric
@attribute AU07_r_mean numeric
@attribute AU09_r_mean numeric
@attribute AU10_r_mean numeric
@attribute AU12_r_mean numeric
@attribute AU14_r_mean numeric
@attribute AU15_r_mean numeric
@attribute AU17_r_mean numeric
@attribute AU20_r_mean numeric
@attribute AU23_r_mean numeric
@attribute AU25_r_mean numeric
@attribute AU26_r_mean numeric
@attribute AU45_r_mean numeric
@attribute AU01_r_std numeric
@attribute AU02_r_std numeric
@attribute AU04_r_std numeric
@attribute AU05_r_std numeric
@attribute AU06_r_std numeric
@attribute AU07_r_std numeric
@attribute AU09_r_std numeric
@attribute AU10_r_std numeric
@attribute AU12_r_std numeric
@attribute AU14_r_std numeric
@attribute AU15_r_std numeric
@attribute AU17_r_std numeric
@attribute AU20_r_std numeric
@attribute AU23_r_std numeric
@attribute AU25_r_std numeric
@attribute AU26_r_std numeric
@attribute AU45_r_std numeric


@data
3.6,0.040163,0,0.47291,0.06546,2.142,1.0451,0.23646,1.9078,1.6502,1.9228,0.24704,0.24732,0.078845,0.67246,0.84634,0.038293,0.55506,0.17767,0,0.37265,0.12518,0.348,0.40472,0.37724,0.31987,0.36412,0.55532,0.42746,0.48218,0.33018,0.55807,0.63738,0.094621,0.42145
4,0.032861,0,0.56227,0.12593,2.1866,1.1093,0.27873,1.9559,1.7043,2.04,0.2485,0.24823,0.06451,0.5948,0.74962,0.03133,0.45524,0.16114,0,0.3933,0.18364,0.32913,0.39238,0.36271,0.31519,0.34977,0.56741,0.39173,0.43999,0.29962,0.53287,0.61379,0.086702,0.43636
4.4,0.028736,0,0.57337,0.11587,2.2424,1.1319,0.37424,1.949,1.7251,2.1337,0.27053,0.22815,0.054585,0.59365,0.6997,0.02651,0.38523,0.14837,0,0.37508,0.17114,0.33028,0.38307,0.4056,0.29387,0.32564,0.56873,0.36659,0.41002,0.27622,0.49125,0.57934,0.080452,0.43364
4.8,0.019091,0,0.56782,0.10216,2.2862,1.1638,0.4154,1.9457,1.7859,2.2043,0.23413,0.15505,0.0071589,0.5157,0.66229,0.014164,0.376,0.099227,0,0.36909,0.1488,0.27424,0.32279,0.40484,0.28443,0.16823,0.48837,0.24069,0.22024,0.026342,0.27514,0.58399,0.048481,0.42709
5.2,0.020624,0,0.60748,0.10067,2.3354,1.1576,0.47078,1.9957,1.8012,2.3008,0.25866,0.17243,0.0081134,0.53469,0.58746,0.0020093,0.34338,0.1056,0,0.36515,0.154,0.21209,0.32746,0.3995,0.23979,0.11749,0.42334,0.2458,0.2289,0.02793,0.28572,0.56103,0.0080855,0.43622
5.6,0.039272,0,0.65982,0.15715,2.2708,1.1933,0.51358,1.9499,1.769,2.2831,0.29512,0.21478,0.010736,0.57627,0.40389,0.0021768,0.18996,0.16372,0,0.33574,0.22508,0.40304,0.3768,0.38986,0.35345,0.22257,0.55477,0.23425,0.23314,0.031728,0.30297,0.36847,0.0091463,0.3243
6,0.46604,0,0.56252,0.21726,2.1077,1.2444,0.51277,1.8399,1.6524,2.3678,0.44666,0.23798,0.066724,0.48853,0.25885,0.0021768,0.35869,0.99375,0,0.40577,0.2949,0.59109,0.35332,0.3909,0.50254,0.36803,0.51409,0.3393,0.24351,0.15789,0.34815,0.19992,0.0091463,0.756
6.4,0.78484,0.020082,0.50616,0.24533,2.0333,1.3682,0.45198,1.7466,1.6774,2.3105,0.44389,0.16063,0.070564,0.33241,0.26405,0.0072355,0.42226,1.1432,0.087466,0.41911,0.28864,0.59689,0.26395,0.39728,0.47141,0.39415,0.55095,0.34473,0.18455,0.15854,0.29335,0.1984,0.02458,0.80524
6.8,1.3961,0.1948,0.56542,0.20643,1.9839,1.3617,0.31644,1.5553,1.6967,2.095,0.34417,0.14331,0.098975,0.25451,0.22948,0.17245,0.41468,1.4177,0.38615,0.48762,0.29656,0.56868,0.28517,0.38585,0.4415,0.39743,0.58313,0.36337,0.1903,0.16306,0.29351,0.20621,0.35855,0.80855
7.2,1.7992,0.2682,0.54747,0.17678,1.8786,1.3775,0.22454,1.4033,1.6489,1.9349,0.33173,0.097695,0.11566,0.20296,0.16531,0.24481,0.46615,1.3692,0.41188,0.52113,0.30183,0.5592,0.28956,0.35873,0.44201,0.41165,0.62859,0.39217,0.1819,0.16718,0.30346,0.18815,0.39197,0.84431
7.6,2.2423,0.33878,0.60172,0.20604,1.7162,1.3975,0.058234,1.2915,1.5875,1.758,0.31036,0.1234,0.14355,0.11098,0.14023,0.30924,0.56641,1.1827,0.43696,0.56506,0.33327,0.51124,0.28937,0.15925,0.43043,0.44184,0.58362,0.43761,0.1969,0.17761,0.26077,0.18281,0.41798,0.92314
8,2.4454,0.3833,0.66802,0.2248,1.5889,1.2177,0.049176,1.0922,1.5154,1.5703,0.26372,0.10421,0.18493,0.093717,0.26205,0.48678,0.4783,1.2717,0.42041,0.56493,0.3163,0.56796,0.50181,0.14759,0.61345,0.45934,0.69718,0.41613,0.18614,0.20233,0.24256,0.35029,0.5943,0.87161
8.4,2.7531,0.41956,0.7223,0.19207,1.4868,1.0054,0.040235,0.94272,1.4606,1.386,0.24815,0.085261,0.27607,0.076677,0.35265,0.68573,0.39134,1.3246,0.38891,0.52759,0.29452,0.56071,0.64278,0.13459,0.64149,0.43264,0.74563,0.38089,0.17285,0.27216,0.22197,0.37367,0.68641,0.80851
8.8,3.1838,0.50679,0.84651,0.07599,1.4474,0.76823,0.040235,0.80552,1.4833,1.1508,0.1925,0.016201,0.36538,0.0073116,0.47683,0.98598,0.31825,1.0726,0.3349,0.43247,0.13999,0.58693,0.66471,0.13459,0.68275,0.38365,0.74582,0.30879,0.05302,0.29079,0.023725,0.44379,0.68824,0.80068
9.2,3.5938,0.62304,1.0095,0.053068,1.3749,0.59892,0.0043801,0.54822,1.3899,0.80931,0.090189,0.0060701,0.48338,0.00647,0.64764,1.3185,0.0020935,0.71204,0.24385,0.24525,0.12599,0.56617,0.58432,0.018681,0.51743,0.36003,0.52418,0.11885,0.016947,0.31159,0.023579,0.44685,0.56278,0.015526
9.6,3.7887,0.63849,0.97903,0.050555,1.2657,0.52644,0,0.33443,1.2781,0.65741,0.081921,0.0016257,0.53498,0.0096465,0.85509,1.5685,0,0.60529,0.18404,0.23141,0.12447,0.43525,0.49149,0,0.30912,0.27212,0.35309,0.11246,0.0063337,0.27123,0.040305,0.39836,0.4248,0
10,3.94693,0.667374,0.963703,0.0599941,1.20706,0.432527,0,0.230336,1.20423,0.548561,0.0790957,0.00156965,0.625311,0.0399466,1.02694,1.69043,0,0.550726,0.210127,0.227936,0.120777,0.310125,0.402958,0,0.140201,0.144413,0.175229,0.111497,0.00622882,0.186525,0.0879778,0.263724,0.303964,0
10.4,3.69693,0.692089,0.917157,0.0648153,1.23801,0.568234,0.00360393,0.312639,1.15357,0.640175,0.0738768,0.0469886,0.576622,0.0776773,1.04907,1.60251,0.00285883,1.11237,0.37159,0.279338,0.117078,0.309899,0.523445,0.0152002,0.329151,0.210687,0.426131,0.106034,0.174532,0.241408,0.155613,0.250169,0.446665,0.0110861
10.8,3.49219,0.604547,0.811221,0.0923044,1.31998,0.770218,0.00321951,0.407448,1.09172,0.921305,0.0659966,0.28727,0.510608,0.0693918,0.985944,1.49063,0.0346932,1.20699,0.422599,0.398862,0.151756,0.303772,0.695042,0.0143987,0.378471,0.269084,0.817552,0.102737,0.643448,0.296407,0.14893,0.32656,0.560597,0.101045
11.2,3.15709,0.522891,0.673491,0.0620563,1.41818,1.03903,0.00321951,0.524493,1.01527,1.24189,0.0601642,0.490946,0.429391,0.0693918,0.891108,1.39024,0.101183,1.33866,0.46742,0.444825,0.126299,0.327702,0.787335,0.0143987,0.405065,0.286749,1.07801,0.104275,0.770585,0.33525,0.14893,0.419982,0.603522,0.192177
11.6,2.63563,0.450958,0.564161,0.0606339,1.53807,1.30868,0.00321951,0.769181,0.968359,1.57955,0.028562,0.694824,0.346306,0.0693918,0.905153,1.34394,0.163069,1.59297,0.498792,0.477679,0.12655,0.244823,0.766947,0.0143987,0.651883,0.294059,1.14556,0.0724087,0.817114,0.351449,0.14893,0.429374,0.596754,0.223503
12,2.15834,0.383955,0.465619,0.0606339,1.62925,1.5497,0.00321951,0.993357,0.934469,1.91614,0.00494196,0.856963,0.241017,0.0693918,0.950836,1.28023,0.232445,1.74199,0.520464,0.477131,0.12655,0.220916,0.660601,0.0143987,0.75106,0.280738,1.14262,0.0215945,0.784919,0.317513,0.14893,0.457635,0.587255,0.246032
12.4,1.62304,0.284819,0.329757,0.0606339,1.71321,1.66627,0.00321951,1.24739,0.912382,2.22271,0.00482926,1.03937,0.152697,0.0685823,1.00117,1.2024,0.293633,1.70049,0.50891,0.429836,0.12655,0.179884,0.628522,0.0143987,0.765207,0.268471,1.03941,0.021598,0.730004,0.269638,0.149263,0.508894,0.529132,0.239711
12.8,1.06343,0.173372,0.214939,0.0551445,1.75915,1.79426,0.00321951,1.50599,0.852152,2.53814,0.00482926,1.27095,0.0796295,0.0468629,0.985944,1.12624,0.340745,1.42548,0.461131,0.37291,0.127716,0.177608,0.49401,0.0143987,0.702013,0.23172,0.875438,0.021598,0.645077,0.217154,0.139552,0.519583,0.47993,0.213341
13.2,0.517785,0.00649091,0.0780847,0.0460521,1.82041,1.90614,0.0016,1.71485,0.774679,2.89904,0.0024,1.53308,0.000204545,0.0236867,0.911421,0.988934,0.388146,0.775579,0.0562129,0.160948,0.128025,0.180484,0.280923,0.010272,0.520043,0.184827,0.424177,0.015408,0.474783,0.00177142,0.1147,0.508912,0.440616,0.167781
13.6,0.398282,0,0.0472835,0.00711939,1.89513,1.95762,0,1.79878,0.770352,3.0355,0,1.77137,0,0.00242008,0.897673,0.984833,0.41051,0.731166,0,0.0789971,0.0302585,0.137847,0.225167,0,0.479693,0.188348,0.32302,0,0.609563,0,0.0114555,0.507502,0.448254,0.133824
14,0.119148,0,0.0367567,0,1.94075,1.90431,0,1.92009,0.749499,3.15592,0,2.00265,0,0.00242008,0.973775,0.894324,0.364033,0.294499,0,0.0760541,0,0.124179,0.200462,0,0.325268,0.200029,0.311337,0,0.791797,0,0.0114555,0.478125,0.487821,0.144733
14.4,0.0224423,0,0.034581,0,1.98079,1.89284,0,1.95302,0.691284,3.19098,0,2.2329,0,0.00442368,1.04624,0.804815,0.320805,0.0460939,0,0.0760952,0,0.111056,0.199722,0,0.238104,0.253937,0.302753,0,0.92109,0,0.0147837,0.46012,0.489117,0.166477
14.8,0.00713266,0,0.00961933,0,2.01448,1.85638,0,1.88601,0.581018,3.26358,0,2.548,0,0.0459882,0.890179,0.676694,0.268392,0.0234639,0,0.0226736,0,0.0893005,0.178633,0,0.245182,0.294927,0.28685,0,0.99225,0,0.135461,0.547324,0.50511,0.160179
15.2,0,0,0.0068645,0,2.02132,1.84269,0,1.86802,0.460651,3.34293,0,2.96253,0,0.0682624,0.710327,0.522219,0.212135,0,0,0.0202425,0,0.0817023,0.165778,0,0.241179,0.321716,0.244174,0,1.01268,0,0.152754,0.578895,0.496021,0.149794
15.6,0,0,0,0,2.03176,1.88027,0,1.77797,0.340483,3.41958,0,3.34353,0,0.098631,0.527106,0.322059,0.166118,0,0,0,0,0.0761915,0.182677,0,0.277193,0.274701,0.234802,0,0.888623,0,0.183384,0.477602,0.317054,0.12363
16,0,0,0,0,2.0614,1.97683,0,1.73717,0.286791,3.49972,0,3.60861,0,0.0998537,0.468138,0.207306,0.122221,0,0,0,0,0.0832563,0.234553,0,0.232404,0.229952,0.188097,0,0.672797,0,0.183013,0.480379,0.23005,0.107873
16.4,0,0,0,0,2.08973,2.08915,0,1.72942,0.247635,3.54177,0,3.76983,0,0.105773,0.43927,0.14391,0.0877486,0,0,0,0,0.120501,0.322098,0,0.227097,0.191279,0.21937,0,0.510737,0,0.181105,0.478389,0.194487,0.0618646
16.8,0,0,0,0,2.13847,2.16585,0,1.72431,0.228241,3.59146,0,3.86546,0,0.122517,0.354502,0.106765,0.0853468,0,0,0,0,0.165545,0.35065,0,0.220168,0.174036,0.252951,0,0.415268,0,0.177034,0.422555,0.181009,0.0612535
17.2,0,0,0,0,2.15863,2.21467,0,1.72229,0.208906,3.59687,0,3.90926,0,0.124471,0.220039,0.0483626,0.0902033,0,0,0,0,0.170085,0.32665,0,0.227052,0.166173,0.259727,0,0.402464,0,0.17584,0.271656,0.0989451,0.0646557
17.6,0,0,0,0,2.16618,2.28648,0,1.70798,0.220849,3.60034,0,3.89475,0,0.113685,0.173217,0.0165621,0.103007,0,0,0,0,0.169504,0.292609,0,0.226428,0.168778,0.255866,0,0.417647,0,0.1712,0.226166,0.04323,0.0718881
18,0,0,0.0100025,0,2.14764,2.26981,5.46875e-05,1.72088,0.281603,3.53681,0,3.63056,0.00561224,0.0773252,0.254285,0.0573375,0.290524,0,0,0.0371906,0,0.205682,0.354427,0.000473608,0.235473,0.210738,0.35919,0,0.758441,0.0307757,0.137425,0.273647,0.179213,0.623836
18.4,0.014981,0,0.0308637,0.00404392,2.1666,2.17554,0.0656237,1.72534,0.477472,3.36722,0.0640491,3.08466,0.00786745,0.156254,0.278948,0.0519942,0.416903,0.0526937,0,0.1024,0.0115163,0.211099,0.474336,0.184256,0.209751,0.454332,0.573405,0.185152,1.414,0.0348222,0.330991,0.271583,0.179806,0.688321
18.8,0.0832134,0,0.125725,0.00433277,2.17952,2.15004,0.123907,1.71116,0.596698,3.24467,0.0779833,2.71519,0.00842941,0.271804,0.316697,0.0545493,0.443171,0.260071,0,0.344039,0.0118729,0.217325,0.502881,0.257992,0.22998,0.511101,0.628982,0.191938,1.58543,0.0359951,0.491089,0.331253,0.185866,0.705431
19.2,0.0970823,0,0.14668,0.0050549,2.16601,2.07158,0.144558,1.70167,0.636715,3.17955,0.0909805,2.50453,0.00983431,0.31627,0.288981,0.0636408,0.514298,0.278804,0,0.36783,0.0126943,0.231303,0.500692,0.273505,0.238329,0.541157,0.65587,0.204651,1.61609,0.0387453,0.517651,0.318457,0.199532,0.738841
19.6,0.116499,0,0.176016,0.00606588,2.12499,1.95723,0.17347,1.70525,0.690441,3.05067,0.109177,2.29126,0.0118012,0.361707,0.306374,0.076369,0.581606,0.302137,0,0.397041,0.0137031,0.231965,0.470321,0.291469,0.244851,0.576325,0.641067,0.220005,1.69042,0.042236,0.556626,0.343328,0.216671,0.793108
20,0.145623,0,0.22002,0.00758235,2.06298,1.8711,0.216838,1.65275,0.792313,2.85131,0.136471,1.892,0.0147515,0.431978,0.351954,0.0954612,0.696643,0.33218,0,0.433743,0.014971,0.214735,0.479214,0.311596,0.242884,0.601856,0.546971,0.238731,1.6609,0.0468685,0.601879,0.368032,0.238986,0.849805
20.4,0.194165,0,0.293359,0.0101098,2.01608,1.69898,0.289117,1.63508,0.942388,2.69493,0.181961,1.38408,0.0196686,0.569964,0.452128,0.127282,0.868126,0.372349,0,0.480364,0.0165826,0.228777,0.426026,0.330083,0.265809,0.623558,0.540657,0.260926,1.61885,0.0534235,0.638995,0.373949,0.26948,0.921506
20.8,0.277378,0,0.417448,0.0144426,1.91085,1.39012,0.413024,1.56147,1.24092,2.25732,0.259944,0.309422,0.028098,0.812806,0.454954,0.110999,1.06839,0.420473,0,0.529782,0.0182489,0.516398,0.428039,0.322875,0.459066,0.504106,0.602936,0.27827,0.613376,0.0623675,0.621003,0.404894,0.275563,0.975135
21.2,0.433436,0,0.659754,0.0115462,1.70761,1.39877,0.513681,1.15641,1.21572,1.79598,0.286896,0,0,1.14494,0.560025,0,0.241033,0.500711,0,0.597691,0.0159403,0.823769,0.671877,0.285991,0.554395,0.590262,0.881787,0.254142,0,0,0.573888,0.418082,0,0.286451
21.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0.00950141,0.00188213,0.00573863,0.004312,0.0066973,0.00558042,0,0.00869383,0.007974,0.00985313,0.000644057,0.00248504,0.000878938,0,0.00276976,0.00354487,0,0.0212458,0.00420856,0.012832,0.00964193,0.0149756,0.0124782,0,0.01944,0.0178304,0.0220323,0.00144016,0.00555672,0.00196536,0,0.00619337,0.00792657,0
22.4,0.00950141,0.00188213,0.00573863,0.004312,0.0066973,0.00558042,0,0.00869383,0.007974,0.00985313,0.000644057,0.00248504,0.000878938,0,0.00276976,0.00354487,0,0.0212458,0.00420856,0.012832,0.00964193,0.0149756,0.0124782,0,0.01944,0.0178304,0.0220323,0.00144016,0.00555672,0.00196536,0,0.00619337,0.00792657,0
22.8,0.00791784,0.00156844,0.00478219,0.00359333,0.00558108,0.00465035,0,0.00724486,0.006645,0.00821094,0.000536714,0.00207087,0.000732448,0,0.00230813,0.00295406,0,0.0193947,0.00384187,0.0117139,0.00880183,0.0136708,0.011391,0,0.0177462,0.0162769,0.0201126,0.00131468,0.00507257,0.00179412,0,0.00565375,0.00723593,0
23.2,1.23889,0.12773,0.863173,0.433915,0.812172,0.900742,0,0.981808,1.00587,1.03672,0.0894071,0.0868475,0.120927,0,0.446642,0.512544,0,1.18059,0.135777,0.816129,0.440418,0.806755,0.877825,0,0.93182,0.946131,0.991571,0.101629,0.0909391,0.136744,0,0.423645,0.481087,0
23.6,1.72773,0.307707,1.24176,0.589449,1.20957,1.30806,0,1.34462,1.38235,1.46181,0.178126,0.152322,0.178204,0,0.697614,0.719068,0,1.15706,0.314574,0.844609,0.416686,0.852585,0.90203,0,0.893173,0.91154,0.98416,0.157273,0.129486,0.139798,0,0.489121,0.479727,0
24,1.64545,0.293054,1.18263,0.56138,1.15197,1.24577,0,1.28059,1.31653,1.3922,0.169643,0.145069,0.169718,0,0.664394,0.684827,0,1.18912,0.313875,0.866674,0.426017,0.871909,0.924366,0,0.918676,0.938272,1.01089,0.158143,0.130511,0.141699,0,0.500452,0.493207,0
24.4,1.46935,0.229535,1.08824,0.421035,1.2119,1.07305,0.0802172,1.23506,1.24062,1.41017,0.163274,0.109228,0.128014,0,0.696829,0.537935,0,1.09631,0.293093,0.792327,0.442398,0.868253,0.868954,0.172169,0.861167,0.871119,0.981251,0.144414,0.128911,0.142466,0,0.509348,0.498465,0
24.8,1.49788,0.173702,1.19145,0.318621,1.50728,1.20228,0.162522,1.40996,1.38889,1.6947,0.187811,0.0826592,0.102028,0.0223749,0.809973,0.495953,0,0.919714,0.272755,0.670932,0.424647,0.837448,0.755015,0.202476,0.749237,0.745864,0.903939,0.129346,0.121329,0.133963,0.0538806,0.452054,0.444888,0
25.2,1.29958,0.142613,1.23063,0.261498,1.67542,1.34275,0.389091,1.47369,1.43754,1.95067,0.258373,0.0676881,0.0924424,0.172256,0.859937,0.429533,0,0.947357,0.255809,0.561742,0.403684,0.702325,0.652584,0.460831,0.606936,0.608373,0.792424,0.160909,0.114457,0.126604,0.316166,0.383393,0.434208,0
25.6,1.07498,0.116683,1.1283,0.213953,1.74395,1.30444,0.545081,1.49536,1.43184,2.06211,0.302923,0.0553812,0.0756347,0.300748,0.794798,0.351436,0,0.981362,0.237491,0.55394,0.378344,0.651068,0.600346,0.534385,0.552986,0.551223,0.756418,0.177887,0.106624,0.119813,0.399038,0.376412,0.426118,0
26,0.889737,0.0959896,1.11321,0.165643,1.9104,1.29722,0.721296,1.55789,1.4697,2.23799,0.356763,0.0426968,0.0639092,0.453469,0.792195,0.280001,0,0.999102,0.230097,0.512602,0.360905,0.537423,0.559268,0.558063,0.48145,0.478061,0.634649,0.167911,0.101134,0.117117,0.462791,0.354484,0.414138,0
26.4,0.616934,0.0213806,0.833407,0.0327096,1.85633,1.30936,0.733124,1.44266,1.27223,2.20221,0.311805,0.191011,0.0135038,0.496535,0.805423,0.14864,0.0154879,0.74639,0.13106,0.501063,0.147932,0.54779,0.592688,0.546878,0.443919,0.427024,0.651871,0.20634,0.533047,0.044441,0.460529,0.393421,0.234834,0.0508381
26.8,0.752739,0.00395413,0.694998,0.0228506,1.85313,1.44585,0.637499,1.45571,1.12994,2.20656,0.267222,0.541698,0.00869893,0.431769,0.76755,0.137003,0.0761974,0.768683,0.0170101,0.508829,0.0575103,0.512637,0.660849,0.566877,0.417757,0.501006,0.620217,0.221802,0.994281,0.0338997,0.460859,0.381498,0.175898,0.156001
27.2,0.839871,0.00201215,0.634701,0.0222368,1.97178,1.59583,0.583907,1.59851,1.12309,2.36807,0.243529,0.781731,0.00773207,0.397228,0.872261,0.173987,0.156013,0.738085,0.00903955,0.525042,0.0552855,0.286076,0.572196,0.572874,0.298356,0.449908,0.364732,0.226457,1.08408,0.0325664,0.457249,0.399615,0.192333,0.243727
27.6,0.701693,0,0.472486,0.0222368,2.02362,1.78179,0.531182,1.69448,1.06085,2.43518,0.215157,1.02207,0.00773207,0.395063,0.794444,0.161484,0.259639,0.729668,0,0.497516,0.0552855,0.276386,0.587562,0.604267,0.360628,0.420803,0.291112,0.2398,1.08883,0.0325664,0.45902,0.414197,0.195556,0.312741
28,0.575096,0,0.300211,0.0222368,2.13677,1.90834,0.439319,1.76507,1.0212,2.47569,0.170482,1.30967,0,0.358011,0.805848,0.121652,0.397223,0.73726,0,0.392654,0.0552855,0.412735,0.631682,0.608359,0.384463,0.379276,0.313003,0.23889,1.06763,0,0.474113,0.447119,0.168839,0.40734
28.4,0.561907,0,0.193275,0.0222368,2.20249,1.96813,0.276115,1.84561,1.0665,2.47209,0.105888,1.38811,0,0.247443,0.90883,0.217708,0.808767,0.746543,0,0.337641,0.0552855,0.424083,0.608025,0.532461,0.377854,0.475176,0.360522,0.207816,1.01904,0,0.429776,0.565465,0.319255,0.999848
28.8,0.603413,0,0.117303,0.0236245,2.19591,1.97591,0.103945,1.92047,1.18581,2.32833,0.0374934,1.39254,0,0.125512,1.15419,0.377988,1.14634,0.732961,0,0.248768,0.0551236,0.428417,0.595563,0.327661,0.416315,0.645148,0.463965,0.124122,1.0131,0,0.303135,0.748912,0.498997,1.11163
29.2,0.647137,0,0.0563434,0.0483931,2.26057,2.01132,0.0523226,2.01768,1.28718,2.30948,0.040147,1.36769,0,0.111728,1.02549,0.358918,1.25632,0.714274,0,0.104506,0.112438,0.394798,0.572142,0.121676,0.335046,0.701442,0.517704,0.108352,1.0368,0,0.253014,0.8166,0.504172,1.04179
29.6,0.401729,0,0.0833385,0.211684,2.23007,1.80552,0.16075,1.98245,1.34594,2.03528,0.103426,1.0686,0,0.196224,0.919169,0.331672,1.39992,0.54769,0,0.12032,0.494415,0.442719,0.659939,0.293082,0.400489,0.643876,0.923256,0.182996,1.0507,0,0.321623,0.884327,0.514518,0.974163
30,0.199223,0,0.0946318,0.245243,2.13771,1.6468,0.286423,1.94076,1.42058,1.91227,0.199371,0.757395,0,0.398297,0.833994,0.289709,1.44348,0.329055,0,0.121109,0.51852,0.54572,0.700965,0.392961,0.436404,0.580031,0.971099,0.275589,0.95534,0,0.595024,0.894199,0.522702,0.948579
30.4,0.098523,0,0.107222,0.245243,2.01761,1.56378,0.487947,1.86475,1.41784,1.8011,0.329209,0.480437,0,0.633365,0.854164,0.264165,1.48675,0.22735,0,0.117837,0.51852,0.609161,0.683178,0.552688,0.448181,0.582748,0.939586,0.367974,0.820934,0,0.731443,0.870167,0.529353,0.920686
30.8,0.265622,0.00501303,0.185365,0.248576,1.83358,1.46371,0.560106,1.74055,1.32708,1.528,0.387768,0.332112,0,0.697824,0.734589,0.285139,1.46752,0.616248,0.0282911,0.229039,0.52125,0.594352,0.574426,0.557381,0.442227,0.665794,0.965829,0.386586,0.630302,0,0.729155,0.886937,0.529959,0.951151
