Data_Included_Slug,Participant,Session,Scenario,Annotation_Type,Accuracy,Accuracy_Balanced,Precision_Blue,Precision_Green,Precision_Red,Precision_Yellow,Recall_Blue,Recall_Green,Recall_Red,Recall_Yellow,F1score_Blue,F1score_Green,F1score_Red,F1score_Yellow
participant_03_va_early_fusion,Participant_03,,va_early_fusion,parents,0.6969,0.7343,0.6617,0.8549,0.51,0.5157,0.6928,0.6975,0.8793,0.6677,0.6769,0.7682,0.6456,0.582
participant_01_va_late_fusion,Participant_01,,va_late_fusion,parents,0.7302,0.7092,0.7068,0.875,0.3944,0.4474,0.727,0.7461,0.7179,0.6456,0.7167,0.8054,0.5091,0.5285
session_03_02_va_early_fusion,,Session_03_02,va_early_fusion,parents,0.7043,0.7093,0.6545,0.8135,0.4615,0.6134,0.6575,0.7409,0.75,0.6887,0.656,0.7755,0.5714,0.6489
participant_01_v,Participant_01,,v,parents,0.6997,0.6792,0.6657,0.8542,0.3684,0.422,0.7016,0.7151,0.7179,0.5823,0.6832,0.7785,0.487,0.4894
session_04_02_v,,Session_04_02,v,parents,0.6909,0.6752,0.471,0.8691,0.4267,0.5564,0.6566,0.7265,0.7442,0.5736,0.5485,0.7914,0.5424,0.5649
session_03_01_a,,Session_03_01,a,parents,0.3345,0.3584,0.3704,0.7321,0.09174,0.1754,0.08811,0.3927,0.3922,0.5607,0.1423,0.5112,0.1487,0.2673
session_04_02_va_early_fusion,,Session_04_02,va_early_fusion,parents,0.647,0.6003,0.3986,0.8663,0.314,0.504,0.5758,0.709,0.6279,0.4884,0.4711,0.7798,0.4186,0.4961
session_02_02_v,,Session_02_02,v,parents,0.6877,0.7076,0.6744,0.8624,0.4828,0.4663,0.7117,0.6899,0.8615,0.5672,0.6925,0.7665,0.6188,0.5118
participant_02_va_early_fusion,Participant_02,,va_early_fusion,parents,0.6624,0.6595,0.605,0.8343,0.415,0.5598,0.7152,0.7069,0.7095,0.5066,0.6555,0.7653,0.5237,0.5319
participant_03_v,Participant_03,,v,parents,0.7416,0.7677,0.7013,0.8738,0.6582,0.5567,0.7422,0.755,0.8966,0.6771,0.7211,0.8101,0.7591,0.611
participant_04_a,Participant_04,,a,parents,0.294,0.3269,0.2036,0.7517,0.08397,0.2019,0.5528,0.2439,0.3099,0.201,0.2976,0.3683,0.1321,0.2014
session_02_01_va_early_fusion,,Session_02_01,va_early_fusion,parents,0.6894,0.6774,0.6937,0.8333,0.3858,0.6452,0.7986,0.7493,0.5904,0.5714,0.7425,0.7891,0.4667,0.6061
session_01_01_va_early_fusion,,Session_01_01,va_early_fusion,specialist,0.7447,0.7343,0.7005,0.8934,0.3846,0.6207,0.7459,0.7476,0.6977,0.7461,0.7225,0.814,0.4959,0.6776
participant_02_v,Participant_02,,v,specialist,0.7343,0.7552,0.6728,0.9263,0.3846,0.3678,0.8226,0.7134,0.7812,0.7035,0.7402,0.806,0.5155,0.483
participant_03_va_early_fusion,Participant_03,,va_early_fusion,specialist,0.7265,0.7279,0.6784,0.8854,,0.4683,0.7418,0.7232,,0.7188,0.7087,0.7961,,0.5671
session_02_02_a,,Session_02_02,a,specialist,0.5012,0.4924,0.3565,0.8419,0.09722,0.2252,0.7197,0.4669,0.4667,0.3165,0.4768,0.6007,0.1609,0.2632
all_data_va_late_fusion,All data,,va_late_fusion,specialist,0.6752,0.6878,0.5968,0.8796,0.2017,0.4758,0.6512,0.689,0.7724,0.6385,0.6228,0.7727,0.3199,0.5453
participant_04_va_late_fusion,Participant_04,,va_late_fusion,specialist,0.7213,0.7251,0.5527,0.8817,0.3654,0.6412,0.6135,0.7444,0.7917,0.751,0.5815,0.8072,0.5,0.6918
session_03_01_va_late_fusion,,Session_03_01,va_late_fusion,specialist,0.843,0.8283,0.8545,0.904,,0.6446,0.8161,0.8642,,0.8045,0.8349,0.8837,,0.7157
participant_02_va_late_fusion,Participant_02,,va_late_fusion,specialist,0.7489,0.7636,0.6933,0.9293,0.3768,0.3758,0.8387,0.7347,0.8125,0.6686,0.7591,0.8206,0.5149,0.4812
session_04_02_va_late_fusion,,Session_04_02,va_late_fusion,specialist,0.7135,0.6547,0.6476,0.8438,0.2308,0.5299,0.6682,0.7244,0.4286,0.7978,0.6577,0.7795,0.3,0.6368
participant_03_va_late_fusion,Participant_03,,va_late_fusion,specialist,0.7676,0.7683,0.7125,0.9002,,0.5369,0.783,0.7651,,0.7569,0.7461,0.8272,,0.6282
all_data_a,All data,,a,specialist,0.3481,0.3661,0.2583,0.7451,0.05168,0.199,0.2585,0.3658,0.4634,0.3765,0.2584,0.4907,0.09299,0.2603
session_04_01_va_late_fusion,,Session_04_01,va_late_fusion,specialist,0.8105,0.8215,0.5579,0.9373,0.5373,0.7707,0.8548,0.8329,0.878,0.7202,0.6752,0.8821,0.6667,0.7446
session_03_02_va_early_fusion,,Session_03_02,va_early_fusion,specialist,0.7597,0.741,0.6943,0.8739,,0.5421,0.773,0.7853,,0.6645,0.7315,0.8272,,0.5971
participant_01_va_late_fusion,Participant_01,,va_late_fusion,specialist,0.7437,0.7224,0.7316,0.8899,0.4828,0.5569,0.7514,0.7514,0.6512,0.7358,0.7413,0.8148,0.5545,0.6339
session_03_02_va_late_fusion,,Session_03_02,va_late_fusion,specialist,0.7872,0.7679,0.6727,0.9009,,0.6056,0.7872,0.8131,,0.7032,0.7255,0.8548,,0.6507
session_03_01_v,,Session_03_01,v,specialist,0.8589,0.8391,0.8878,0.9154,,0.6506,0.8161,0.8891,,0.812,0.8505,0.902,,0.7224
session_04_02_a,,Session_04_02,a,specialist,0.3398,0.3314,0.3974,0.6652,0.01739,0.1519,0.2727,0.3625,0.2857,0.4045,0.3235,0.4693,0.03279,0.2209
session_02_02_va_late_fusion,,Session_02_02,va_late_fusion,specialist,0.7021,0.7206,0.6244,0.9106,0.3056,0.3377,0.8153,0.6756,0.7333,0.6582,0.7072,0.7757,0.4314,0.4464
participant_02_va_early_fusion,Participant_02,,va_early_fusion,specialist,0.7398,0.758,0.6416,0.9391,0.3881,0.377,0.8258,0.7249,0.8125,0.6686,0.7221,0.8182,0.5253,0.4822
session_04_01_v,,Session_04_01,v,specialist,0.8148,0.8233,0.5699,0.9354,0.5294,0.7857,0.8548,0.8399,0.878,0.7202,0.6839,0.8851,0.6606,0.7516
session_03_02_a,,Session_03_02,a,specialist,0.363,0.3584,0.1667,0.6715,,0.2316,0.2837,0.3658,,0.4258,0.21,0.4736,,0.3
participant_04_v,Participant_04,,v,specialist,0.7122,0.724,0.5486,0.8723,0.3514,0.6416,0.6206,0.7313,0.8125,0.7315,0.5824,0.7956,0.4906,0.6836
participant_03_a,Participant_03,,a,specialist,0.4029,0.4105,0.2679,0.7194,,0.2207,0.4423,0.3899,,0.3993,0.3337,0.5057,,0.2843
session_02_01_va_late_fusion,,Session_02_01,va_late_fusion,specialist,0.8197,0.8334,0.7403,0.9506,0.625,0.5035,0.8758,0.812,0.8824,0.7634,0.8024,0.8758,0.7317,0.6068
participant_01_a,Participant_01,,a,specialist,0.5042,0.4942,0.5385,0.7935,0.09756,0.4099,0.5297,0.5104,0.4651,0.4715,0.5341,0.6212,0.1613,0.4386
session_04_02_va_early_fusion,,Session_04_02,va_early_fusion,specialist,0.6818,0.5613,0.6094,0.8208,0.1667,0.4823,0.6455,0.6927,0.1429,0.764,0.6269,0.7513,0.1538,0.5913
session_01_01_va_late_fusion,,Session_01_01,va_late_fusion,specialist,0.7437,0.7224,0.7316,0.8899,0.4828,0.5569,0.7514,0.7514,0.6512,0.7358,0.7413,0.8148,0.5545,0.6339
session_01_01_a,,Session_01_01,a,specialist,0.5021,0.4924,0.533,0.7929,0.09709,0.4099,0.5243,0.5085,0.4651,0.4715,0.5286,0.6197,0.1606,0.4386
session_02_01_va_early_fusion,,Session_02_01,va_early_fusion,specialist,0.8245,0.8275,0.7135,0.9571,0.5172,0.541,0.8954,0.8225,0.8824,0.7097,0.7942,0.8847,0.6522,0.614
session_02_01_v,,Session_02_01,v,specialist,0.8185,0.8352,0.7243,0.9563,0.6,0.5106,0.8758,0.8084,0.8824,0.7742,0.7929,0.8762,0.7143,0.6154
session_02_02_va_early_fusion,,Session_02_02,va_early_fusion,specialist,0.7429,0.7012,0.6526,0.9111,0.4706,0.3882,0.7898,0.7348,0.5333,0.7468,0.7147,0.8135,0.5,0.5108
session_04_01_va_early_fusion,,Session_04_01,va_early_fusion,specialist,0.7906,0.805,0.5143,0.9249,0.5625,0.7347,0.871,0.8283,0.878,0.6429,0.6467,0.8739,0.6857,0.6857
session_04_01_a,,Session_04_01,a,specialist,0.2546,0.3476,0.1209,0.8605,0.09091,0.2059,0.7742,0.2575,0.3171,0.04142,0.2092,0.3964,0.1413,0.06897
session_03_02_v,,Session_03_02,v,specialist,0.7835,0.761,0.6687,0.9029,,0.5902,0.773,0.8131,,0.6968,0.7171,0.8556,,0.6391
participant_03_v,Participant_03,,v,specialist,0.7586,0.7634,0.6963,0.9018,,0.5263,0.7747,0.7515,,0.7639,0.7334,0.8198,,0.6232
participant_04_a,Participant_04,,a,specialist,0.251,0.2799,0.2632,0.7727,0.02922,0.2034,0.1418,0.1817,0.1875,0.6085,0.1843,0.2942,0.05056,0.3049
participant_01_v,Participant_01,,v,specialist,0.711,0.6865,0.6912,0.8662,0.4286,0.5344,0.7622,0.7002,0.5581,0.7254,0.7249,0.7744,0.4848,0.6154
participant_04_va_early_fusion,Participant_04,,va_early_fusion,specialist,0.6821,0.6985,0.5088,0.8666,0.3362,0.5897,0.6135,0.7027,0.8125,0.6654,0.5563,0.7761,0.4756,0.6252
session_01_01_v,,Session_01_01,v,specialist,0.712,0.6869,0.6912,0.8665,0.4286,0.5364,0.7622,0.7021,0.5581,0.7254,0.7249,0.7757,0.4848,0.6167
all_data_va_early_fusion,All data,,va_early_fusion,specialist,0.6507,0.6633,0.5534,0.8749,0.211,0.4314,0.6407,0.6634,0.748,0.6011,0.5938,0.7546,0.3292,0.5023
session_02_01_a,,Session_02_01,a,specialist,0.2761,0.3343,0.315,0.8489,0.02041,0.1575,0.5621,0.207,0.3529,0.2151,0.4038,0.3329,0.03859,0.1818
participant_01_va_early_fusion,Participant_01,,va_early_fusion,specialist,0.7437,0.7339,0.697,0.8932,0.3846,0.6207,0.7459,0.7457,0.6977,0.7461,0.7206,0.8128,0.4959,0.6776
session_03_01_va_early_fusion,,Session_03_01,va_early_fusion,specialist,0.8203,0.8085,0.7842,0.9095,,0.6135,0.8475,0.826,,0.7519,0.8147,0.8657,,0.6757
participant_02_a,Participant_02,,a,specialist,0.3701,0.4113,0.2773,0.8321,0.06364,0.1527,0.729,0.2985,0.4375,0.1802,0.4018,0.4394,0.1111,0.1653
session_02_02_v,,Session_02_02,v,specialist,0.6972,0.7251,0.6263,0.8945,0.4074,0.3353,0.7898,0.6685,0.7333,0.7089,0.6986,0.7651,0.5238,0.4553
all_data_v,All data,,v,specialist,0.6657,0.6821,0.5744,0.8827,0.1962,0.4733,0.6494,0.6714,0.7561,0.6516,0.6096,0.7627,0.3116,0.5483
session_03_01_a,,Session_03_01,a,specialist,0.413,0.4467,0.3382,0.7795,,0.2068,0.4126,0.3786,,0.5489,0.3717,0.5097,,0.3004
session_04_02_v,,Session_04_02,v,specialist,0.6997,0.6075,0.6316,0.83,0.2222,0.5074,0.6545,0.7146,0.2857,0.7753,0.6429,0.768,0.25,0.6133
